# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.638149 0.15 0.2 0 1.05391 1.58795 -5.4965e-06 -8.32187e-06 0
0.639366 0.15 0.2 0 1.05328 1.615 -5.52338e-06 -1.37655e-05 0
0.640581 0.15 0.2 0 1.05578 1.60458 -5.50488e-06 -9.16307e-06 0
0.641794 0.15 0.2 0 1.05495 1.57525 -5.56407e-06 -1.65211e-05 0
0.643006 0.15 0.2 0 1.0546 1.55988 -5.42922e-06 -1.52921e-05 0
0.644215 0.15 0.2 0 1.05454 1.55469 -5.49411e-06 -6.03124e-06 0
0.645423 0.15 0.2 0 1.05524 1.55997 -5.48224e-06 -1.38912e-05 0
0.646628 0.15 0.2 0 1.056 1.56899 -5.40366e-06 -1.54663e-05 0
0.647832 0.15 0.2 0 1.05696 1.58095 -5.44566e-06 -1.46618e-05 0
0.649034 0.15 0.2 0 1.05775 1.6049 -5.46526e-06 -6.04834e-06 0
0.650234 0.15 0.2 0 1.0583 1.5906 -5.46413e-06 -1.4138e-05 0
0.651432 0.15 0.2 0 1.05856 1.5643 -5.43275e-06 -1.48996e-05 0
0.652629 0.15 0.2 0 1.05768 1.54786 -5.44814e-06 -4.50788e-06 0
0.653823 0.15 0.2 0 1.05773 1.54448 -5.40664e-06 -1.4647e-05 0
0.655016 0.15 0.2 0 1.05802 1.54942 -5.49377e-06 -2.16044e-05 0
0.656207 0.15 0.2 0 1.05842 1.55957 -5.22831e-06 -8.13987e-06 0
0.657396 0.15 0.2 0 1.05788 1.5743 -5.53095e-06 -1.69677e-05 0
0.658583 0.15 0.2 0 1.06017 1.6075 -5.40183e-06 1.07123e-05 0
0.659769 0.15 0.2 0 1.06161 1.59625 -5.44395e-06 -3.91767e-05 0
